         294610 function calls (285110 primitive calls) in 32.581 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      217    0.000    0.000    0.000    0.000 typing.py:1025(_abc_negative_cache)
    65/44    0.000    0.000    0.000    0.000 sre_compile.py:414(_get_literal_prefix)
        2    0.000    0.000    0.011    0.006 shape_base.py:1(<module>)
       98    0.000    0.000    0.001    0.000 common.py:30(_unpack_zerodim_and_defer)
       71    0.000    0.000    0.000    0.000 enum.py:353(__setattr__)
       20    0.000    0.000    0.000    0.000 sre_compile.py:378(<listcomp>)
      840    0.000    0.000    0.000    0.000 multiarray.py:77(empty_like)
      842    0.000    0.000    0.000    0.000 multiarray.py:235(inner)
        2    0.000    0.000    0.001    0.001 generic.py:10105(_add_numeric_operations)
       16    0.000    0.000    0.001    0.000 accessor.py:63(_add_delegate_accessors)
      424    0.000    0.000    0.001    0.000 typing.py:1107(<genexpr>)
      361    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        8    0.000    0.000    0.249    0.031 __init__.py:3(<module>)
        1    0.000    0.000    0.026    0.026 platform.py:10(<module>)
        2    0.000    0.000    0.005    0.003 utils.py:1(<module>)
       30    0.000    0.000    0.004    0.000 typing.py:1248(__getitem__)
      420    0.000    0.000    0.000    0.000 fromnumeric.py:993(_argsort_dispatcher)
       59    0.000    0.000    0.001    0.000 sre_parse.py:828(fix_flags)
        4    0.000    0.000    0.004    0.001 common.py:1(<module>)
      298    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
        3    0.000    0.000    0.000    0.000 expr.py:250(disallowed)
        4    0.000    0.000    0.000    0.000 base.py:1088(_add_arithmetic_ops)
      176    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       62    0.000    0.000    0.000    0.000 __init__.py:246(_get_opstr)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:24(<module>)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
        1    0.000    0.000    0.000    0.000 stata.py:715(StataMissingValue)
        1    0.000    0.000    0.001    0.001 multi.py:146(MultiIndex)
        1    0.000    0.000    0.000    0.000 core.py:2717(MaskedArray)
        6    0.000    0.000    0.001    0.000 getlimits.py:37(__init__)
        1    0.000    0.000    0.004    0.004 scimath.py:17(<module>)
       51    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1322(path_hook_for_FileFinder)
       68    0.000    0.000    0.005    0.000 typing.py:843(__getitem__)
        1    0.000    0.000    0.001    0.001 arrayprint.py:5(<module>)
        1    0.000    0.000    0.001    0.001 base.py:177(Index)
      692    0.000    0.000    0.000    0.000 typing.py:975(<genexpr>)
       41    0.000    0.000    0.000    0.000 re.py:249(escape)
      336    0.000    0.000    0.000    0.000 typing.py:256(__hash__)
        3    0.000    0.000    0.000    0.000 tokenize.py:137(_all_string_prefixes)
        4    0.000    0.000    0.000    0.000 enum.py:160(<setcomp>)
        7    0.000    0.000    0.000    0.000 enum.py:857(<listcomp>)
        3    0.000    0.000    0.009    0.003 datetimes.py:1(<module>)
      125    0.000    0.000    0.000    0.000 typing.py:654(_check_generic)
       19    0.000    0.000    0.000    0.000 _add_newdocs.py:6738(add_newdoc_for_scalar_type)
      576    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.006    0.006 threading.py:1(<module>)
       58    0.000    0.000    0.000    0.000 strings.py:1894(forbid_nonstring_types)
        1    0.000    0.000    0.008    0.008 format.py:4(<module>)
       63    0.000    0.000    0.000    0.000 sre_parse.py:294(_class_escape)
       89    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
      608    0.000    0.000    0.000    0.000 typing.py:822(__hash__)
      424    0.000    0.000    0.000    0.000 typing.py:984(<genexpr>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:115(_add_aliases)
       86    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
      159    0.000    0.000    0.000    0.000 expr.py:230(_node_not_implemented)
        1    0.000    0.000    0.001    0.001 integer.py:1(<module>)
       24    0.000    0.000    0.000    0.000 getlimits.py:497(__init__)
       20    0.000    0.000    0.000    0.000 sre_compile.py:376(_mk_bitmap)
      106    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
        2    0.000    0.000    0.041    0.020 generic.py:1(<module>)
      212    0.000    0.000    0.000    0.000 __init__.py:28(set_function_name)
        1    0.000    0.000    0.009    0.009 npyio.py:1(<module>)
        1    0.000    0.000    0.002    0.002 subprocess.py:1228(_execute_child)
      446    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        4    0.000    0.000    0.004    0.001 methods.py:159(_create_methods)
        1    0.000    0.000    0.002    0.002 subprocess.py:608(__init__)
       39    0.000    0.000    0.000    0.000 sre_compile.py:441(_get_charset_prefix)
        1    0.000    0.000    0.002    0.002 os.py:968(popen)
        3    0.000    0.000    0.000    0.000 base.py:5068(_add_numeric_methods_binary)
        1    0.000    0.000    0.002    0.002 type_check.py:3(<module>)
      118    0.000    0.000    0.000    0.000 sre_compile.py:539(isstring)
        1    0.000    0.000    0.000    0.000 contextlib.py:49(inner)
        1    0.000    0.000    0.005    0.005 shutil.py:5(<module>)
        8    0.000    0.000    0.000    0.000 enum.py:839(_decompose)
       82    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      472    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       45    0.000    0.000    0.001    0.000 typing.py:222(__init__)
        1    0.000    0.000    0.000    0.000 lazy.py:1(<module>)
       50    0.000    0.000    0.000    0.000 _internal.py:784(_ufunc_doc_signature_formatter)
       36    0.000    0.000    0.002    0.000 typing.py:1322(__getitem__)
        1    0.000    0.000    0.002    0.002 polynomial.py:4(<module>)
        1    0.000    0.000    0.001    0.001 twodim_base.py:3(<module>)
       59    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        1    0.000    0.000    0.001    0.001 config_init.py:11(<module>)
        1    0.000    0.000    0.018    0.018 index_tricks.py:1(<module>)
        6    0.000    0.000    0.149    0.025 api.py:3(<module>)
      363    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.001    0.001 nanops.py:1(<module>)
      217    0.000    0.000    0.000    0.000 typing.py:1039(_abc_negative_cache_version)
        1    0.000    0.000    0.000    0.000 base.py:590(IndexOpsMixin)
        1    0.000    0.000    0.003    0.003 parse.py:28(<module>)
       38    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
        2    0.000    0.000    0.000    0.000 lazy.py:136(__new__)
        9    0.000    0.000    0.000    0.000 datetime.py:356(__new__)
        1    0.000    0.000    0.016    0.016 series.py:3(<module>)
      421    0.000    0.000    0.000    0.000 multiarray.py:707(dot)
      364    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:825(get_filename)
        1    0.000    0.000    0.001    0.001 _testing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 offsets.py:2546(Tick)
       19    0.000    0.000    0.000    0.000 typing.py:498(__init__)
      172    0.000    0.000    0.000    0.000 typing.py:1047(_get_type_vars)
       82    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
      123    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.003    0.003 pytables.py:4(<module>)
        2    0.000    0.000    0.011    0.006 interval.py:1(<module>)
        1    0.000    0.000    0.010    0.010 algorithms.py:4(<module>)
