,uid,speed,me_to_junc,me_to_inf,x1_vs_me,inf_rel_speed,x1_rel_speed,acc_label
9813,"(8, 92, '1')",0.1,0.7767918384819568,2.8158932139692148,-0.8515506273769,0.0,0.0,0
9814,"(8, 92, '2')",0.1,1.6283424658588568,2.2011451952690777,0.8515506273769,0.0,0.0,0
9815,"(8, 92, '3')",0.1,1.0276333792061791,0.9004992914059123,-3.6231644549774344,0.0,0.0,0
9816,"(8, 92, '4')",0.1,1.533515912294051,2.6416751301453747,-0.6169630575785288,0.0,0.0,0
9817,"(8, 92, '5')",0.1,0.36796239122992125,6.333889619022562,-3.535236552492076,0.0,0.0,0
9818,"(8, 92, '6')",0.1,0.12713408780026692,0.7590635194917732,-4.523663746383347,0.0,0.0,0
9819,"(8, 92, '7')",0.1,1.2490059579146635,0.8617618501549664,0.5139525996848049,0.0,0.05833333333333333,0
9820,"(8, 92, '8')",0.1,0.3872441077596971,5.280827779138084,-0.34780925047016154,0.0,0.05833333333333333,0
9821,"(8, 92, '9')",0.04166666666666668,0.7350533582298586,2.5490714823394027,0.34780925047016154,-0.05833333333333333,-0.05833333333333333,0
9822,"(8, 92, '10')",0.1,2.1504789698725797,4.685833664208163,0.6169630575785288,0.05833333333333333,0.0,0
9823,"(8, 93, '0')",0.1,2.4405105565231815,1.0069946442291307,0.3900315866506019,0.0,0.0,0
9824,"(8, 93, '1')",0.1,0.6767918384819567,2.8158932139692143,-0.8515506273769,0.0,0.0,0
9825,"(8, 93, '2')",0.1,1.5283424658588567,2.2011451952690777,0.8515506273769,0.0,0.0,0
9826,"(8, 93, '3')",0.1,0.9276333792061793,0.9004992914059122,-3.6231644549774336,0.0,0.0,0
9827,"(8, 93, '4')",0.1,1.4335159122940508,2.6416751301453747,-0.6169630575785288,0.0,0.0,0
9828,"(8, 93, '5')",0.1,0.26796239122992116,6.333889619022562,-3.535236552492076,0.0,0.0,0
9829,"(8, 93, '6')",0.1,0.027134087800266937,0.7590635194917732,-4.523663746383346,0.0,0.0,0
9830,"(8, 93, '7')",0.1,1.1490059579146634,0.8617618501549665,0.45561926635147154,0.0,0.05833333333333333,0
9831,"(8, 93, '8')",0.1,0.287244107759697,5.280827779138084,-0.4061425838034949,0.0,0.05833333333333333,0
9832,"(8, 93, '9')",0.04166666666666668,0.6933866915631919,2.607404815672736,0.4061425838034949,-0.05833333333333333,-0.05833333333333333,0
9833,"(8, 93, '10')",0.1,2.0504789698725796,4.627500330874828,0.6169630575785288,0.05833333333333333,0.0,0
9834,"(8, 94, '0')",0.1,2.3405105565231814,1.0069946442291307,0.39003158665060167,0.0,0.0,0
9835,"(8, 94, '1')",0.1,0.5767918384819566,2.8158932139692143,-0.8515506273769002,0.0,0.0,0
9836,"(8, 94, '2')",0.1,1.4283424658588568,2.2011451952690777,0.8515506273769002,0.0,0.0,0
9837,"(8, 94, '3')",0.1,0.8276333792061792,0.9004992914059122,-3.6231644549774336,0.0,0.0,0
9838,"(8, 94, '4')",0.1,1.3335159122940508,2.6416751301453747,-0.616963057578529,0.0,0.0,0
9839,"(8, 94, '5')",0.1,0.16796239122992107,6.333889619022562,-3.535236552492076,0.0,0.0,0
9840,"(8, 94, '6')",0.1,2.18740598535063,0.7590635194917732,1.6106141468686734,0.0,0.0,0
9841,"(8, 94, '7')",0.1,1.0490059579146636,0.8617618501549666,0.3972859330181384,0.0,0.05833333333333333,0
